fi_id,nro_factura,estado,item_id,producto,error,precio_fi,precio_correcto,diferencia,precio_base,lista_id
23,8-PV001,RESERVADA,46,1444-100,Precio incorrecto,248300.0,167602.5,80697.5,248300.0,3.0
23,8-PV001,RESERVADA,47,1444-100,Precio incorrecto,248300.0,167602.5,80697.5,248300.0,3.0
28,1-PV001,RESERVADA,53,2083-1131,Precio incorrecto,124200.0,62100.0,62100.0,124200.0,1.0
28,1-PV001,RESERVADA,54,2083-1131,Precio incorrecto,124200.0,62100.0,62100.0,124200.0,1.0
28,1-PV001,RESERVADA,55,2524-459,Precio incorrecto,135000.0,67500.0,67500.0,135000.0,1.0
28,1-PV001,RESERVADA,56,2524-467,Precio incorrecto,120500.0,60250.0,60250.0,120500.0,1.0
28,1-PV001,RESERVADA,57,2524-467,Precio incorrecto,120500.0,60250.0,60250.0,120500.0,1.0
28,1-PV001,RESERVADA,58,2524-468,Precio incorrecto,116700.0,58350.0,58350.0,116700.0,1.0
28,1-PV001,RESERVADA,59,2524-468,Precio incorrecto,116700.0,58350.0,58350.0,116700.0,1.0
28,1-PV001,RESERVADA,60,2106-1062,Precio incorrecto,112000.0,56000.0,56000.0,112000.0,1.0
28,1-PV001,RESERVADA,61,2106-1062,Precio incorrecto,112000.0,56000.0,56000.0,112000.0,1.0
28,1-PV001,RESERVADA,62,2106-1077,Precio incorrecto,111800.0,55900.0,55900.0,111800.0,1.0
28,1-PV001,RESERVADA,63,2106-1077,Precio incorrecto,111800.0,55900.0,55900.0,111800.0,1.0
29,4-PV003,RESERVADA,64,2528-101,Precio incorrecto,144800.0,72400.0,72400.0,144800.0,1.0
30,4-PV004,RESERVADA,65,2808-330,Precio incorrecto,164100.0,82050.0,82050.0,164100.0,1.0
30,4-PV004,RESERVADA,66,2808-332,Precio incorrecto,159200.0,79600.0,79600.0,159200.0,1.0
31,1-PV002,RESERVADA,67,2272-222,Precio incorrecto,223000.0,111500.0,111500.0,223000.0,1.0
31,1-PV002,RESERVADA,68,2272-222,Precio incorrecto,223000.0,111500.0,111500.0,223000.0,1.0
31,1-PV002,RESERVADA,69,2272-222,Precio incorrecto,223000.0,111500.0,111500.0,223000.0,1.0
31,1-PV002,RESERVADA,70,2275-125,Precio incorrecto,212700.0,106350.0,106350.0,212700.0,1.0
31,1-PV002,RESERVADA,71,2276-227,Precio incorrecto,199600.0,99800.0,99800.0,199600.0,1.0
31,1-PV002,RESERVADA,72,2276-227,Precio incorrecto,199600.0,99800.0,99800.0,199600.0,1.0
32,1-PV003,RESERVADA,73,4839-205,Precio incorrecto,228600.0,114300.0,114300.0,228600.0,1.0
32,1-PV003,RESERVADA,74,4839-205,Precio incorrecto,228600.0,114300.0,114300.0,228600.0,1.0
32,1-PV003,RESERVADA,75,4841-113,Precio incorrecto,253600.0,126800.0,126800.0,253600.0,1.0
32,1-PV003,RESERVADA,76,4202-565,Precio incorrecto,145300.0,72650.0,72650.0,145300.0,1.0
32,1-PV003,RESERVADA,77,4829-331,Precio incorrecto,192300.0,96150.0,96150.0,192300.0,1.0
32,1-PV003,RESERVADA,78,4841-100,Precio incorrecto,242300.0,121150.0,121150.0,242300.0,1.0
32,1-PV003,RESERVADA,79,4841-100,Precio incorrecto,242300.0,121150.0,121150.0,242300.0,1.0
32,1-PV003,RESERVADA,80,4845-116,Precio incorrecto,217000.0,108500.0,108500.0,217000.0,1.0
32,1-PV003,RESERVADA,81,4853-111,Precio incorrecto,178700.0,89350.0,89350.0,178700.0,1.0
32,1-PV003,RESERVADA,82,4853-111,Precio incorrecto,178700.0,89350.0,89350.0,178700.0,1.0
32,1-PV003,RESERVADA,83,4860-100,Precio incorrecto,202300.0,101150.0,101150.0,202300.0,1.0
32,1-PV003,RESERVADA,84,4860-100,Precio incorrecto,202300.0,101150.0,101150.0,202300.0,1.0
32,1-PV003,RESERVADA,85,4949-100,Precio incorrecto,216300.0,108150.0,108150.0,216300.0,1.0
32,1-PV003,RESERVADA,86,4949-100,Precio incorrecto,216300.0,108150.0,108150.0,216300.0,1.0
32,1-PV003,RESERVADA,87,4949-100,Precio incorrecto,216300.0,108150.0,108150.0,216300.0,1.0
32,1-PV003,RESERVADA,88,4949-102,Precio incorrecto,258900.0,129450.0,129450.0,258900.0,1.0
32,1-PV003,RESERVADA,89,4949-102,Precio incorrecto,258900.0,129450.0,129450.0,258900.0,1.0
33,2-PV003,RESERVADA,90,1122-898,Precio incorrecto,203900.0,101950.0,101950.0,203900.0,1.0
33,2-PV003,RESERVADA,91,1122-898,Precio incorrecto,203900.0,101950.0,101950.0,203900.0,1.0
33,2-PV003,RESERVADA,92,1185-1158,Precio incorrecto,182500.0,91250.0,91250.0,182500.0,1.0
33,2-PV003,RESERVADA,93,1185-1158,Precio incorrecto,182500.0,91250.0,91250.0,182500.0,1.0
33,2-PV003,RESERVADA,94,1185-1158,Precio incorrecto,182500.0,91250.0,91250.0,182500.0,1.0
33,2-PV003,RESERVADA,95,1490-101,Precio incorrecto,197200.0,98600.0,98600.0,197200.0,1.0
33,2-PV003,RESERVADA,96,1490-101,Precio incorrecto,197200.0,98600.0,98600.0,197200.0,1.0
33,2-PV003,RESERVADA,97,1490-100,Precio incorrecto,179200.0,89600.0,89600.0,179200.0,1.0
33,2-PV003,RESERVADA,98,1490-100,Precio incorrecto,179200.0,89600.0,89600.0,179200.0,1.0
33,2-PV003,RESERVADA,99,1490-100,Precio incorrecto,179200.0,89600.0,89600.0,179200.0,1.0
34,2-PV004,RESERVADA,100,1487-203,Precio incorrecto,216100.0,108050.0,108050.0,216100.0,1.0
34,2-PV004,RESERVADA,101,1487-203,Precio incorrecto,216100.0,108050.0,108050.0,216100.0,1.0
35,2-PV005,RESERVADA,102,7340-141,Precio incorrecto,203100.0,101550.0,101550.0,203100.0,1.0
35,2-PV005,RESERVADA,103,7340-141,Precio incorrecto,203100.0,101550.0,101550.0,203100.0,1.0
35,2-PV005,RESERVADA,104,7357-111,Precio incorrecto,181500.0,90750.0,90750.0,181500.0,1.0
35,2-PV005,RESERVADA,105,7357-111,Precio incorrecto,181500.0,90750.0,90750.0,181500.0,1.0
35,2-PV005,RESERVADA,106,7408-101,Precio incorrecto,191800.0,95900.0,95900.0,191800.0,1.0
35,2-PV005,RESERVADA,107,7415-100,Precio incorrecto,203100.0,101550.0,101550.0,203100.0,1.0
35,2-PV005,RESERVADA,108,7415-100,Precio incorrecto,203100.0,101550.0,101550.0,203100.0,1.0
35,2-PV005,RESERVADA,109,7416-101,Precio incorrecto,223400.0,111700.0,111700.0,223400.0,1.0
35,2-PV005,RESERVADA,110,7416-101,Precio incorrecto,223400.0,111700.0,111700.0,223400.0,1.0
36,2-PV006,RESERVADA,111,7414-102,Precio incorrecto,186200.0,93100.0,93100.0,186200.0,1.0
37,2-PV007,RESERVADA,112,5824-100,Precio incorrecto,100500.0,50250.0,50250.0,100500.0,1.0
37,2-PV007,RESERVADA,113,5635-816,Precio incorrecto,101200.0,50600.0,50600.0,101200.0,1.0
37,2-PV007,RESERVADA,114,5829-100,Precio incorrecto,123800.0,61900.0,61900.0,123800.0,1.0
37,2-PV007,RESERVADA,115,5829-100,Precio incorrecto,123800.0,61900.0,61900.0,123800.0,1.0
38,2-PV008,RESERVADA,116,4136-1002,Precio incorrecto,120900.0,60450.0,60450.0,120900.0,1.0
38,2-PV008,RESERVADA,117,4264-211,Precio incorrecto,203900.0,101950.0,101950.0,203900.0,1.0
38,2-PV008,RESERVADA,118,4264-211,Precio incorrecto,203900.0,101950.0,101950.0,203900.0,1.0
38,2-PV008,RESERVADA,119,4264-211,Precio incorrecto,203900.0,101950.0,101950.0,203900.0,1.0
38,2-PV008,RESERVADA,120,4301-117,Precio incorrecto,203000.0,101500.0,101500.0,203000.0,1.0
38,2-PV008,RESERVADA,121,4301-117,Precio incorrecto,203000.0,101500.0,101500.0,203000.0,1.0
38,2-PV008,RESERVADA,122,4301-117,Precio incorrecto,203000.0,101500.0,101500.0,203000.0,1.0
39,2-PV009,RESERVADA,123,4305-325,Precio incorrecto,131400.0,65700.0,65700.0,131400.0,1.0
39,2-PV009,RESERVADA,124,4305-325,Precio incorrecto,131400.0,65700.0,65700.0,131400.0,1.0
39,2-PV009,RESERVADA,125,4305-325,Precio incorrecto,131400.0,65700.0,65700.0,131400.0,1.0
39,2-PV009,RESERVADA,126,4305-326,Precio incorrecto,148400.0,74200.0,74200.0,148400.0,1.0
39,2-PV009,RESERVADA,127,4305-326,Precio incorrecto,148400.0,74200.0,74200.0,148400.0,1.0
39,2-PV009,RESERVADA,128,4305-326,Precio incorrecto,148400.0,74200.0,74200.0,148400.0,1.0
40,4-PV005,RESERVADA,129,1440-111,Precio incorrecto,284200.0,142100.0,142100.0,284200.0,1.0
40,4-PV005,RESERVADA,130,1440-111,Precio incorrecto,284200.0,142100.0,142100.0,284200.0,1.0
40,4-PV005,RESERVADA,131,1184-1101,Precio incorrecto,194100.0,97050.0,97050.0,194100.0,1.0
40,4-PV005,RESERVADA,132,1477-101,Precio incorrecto,216800.0,108400.0,108400.0,216800.0,1.0
40,4-PV005,RESERVADA,133,1477-202,Precio incorrecto,256100.0,128050.0,128050.0,256100.0,1.0
40,4-PV005,RESERVADA,134,1455-102,Precio incorrecto,285900.0,142950.0,142950.0,285900.0,1.0
40,4-PV005,RESERVADA,135,3111-101,Precio incorrecto,301500.0,150750.0,150750.0,301500.0,1.0
40,4-PV005,RESERVADA,136,1430-102,Precio incorrecto,207600.0,103800.0,103800.0,207600.0,1.0
40,4-PV005,RESERVADA,137,1444-100,Precio incorrecto,221700.0,110850.0,110850.0,221700.0,1.0
40,4-PV005,RESERVADA,138,1444-100,Precio incorrecto,221700.0,110850.0,110850.0,221700.0,1.0
40,4-PV005,RESERVADA,139,1455-102,Precio incorrecto,285900.0,142950.0,142950.0,285900.0,1.0
41,4-PV006,RESERVADA,140,1478-100,Precio incorrecto,196900.0,98450.0,98450.0,196900.0,1.0
41,4-PV006,RESERVADA,141,1478-100,Precio incorrecto,196900.0,98450.0,98450.0,196900.0,1.0
42,4-PV007,RESERVADA,142,5355-100,Precio incorrecto,364400.0,182200.0,182200.0,364400.0,1.0
42,4-PV007,RESERVADA,143,5094-1701,Precio incorrecto,129400.0,64700.0,64700.0,129400.0,1.0
42,4-PV007,RESERVADA,144,5829-100,Precio incorrecto,123800.0,61900.0,61900.0,123800.0,1.0
42,4-PV007,RESERVADA,145,5658-547,Precio incorrecto,132900.0,66450.0,66450.0,132900.0,1.0
42,4-PV007,RESERVADA,146,5658-547,Precio incorrecto,132900.0,66450.0,66450.0,132900.0,1.0
43,8-PV003,RESERVADA,147,1444-100,Precio incorrecto,221700.0,110850.0,110850.0,221700.0,1.0
43,8-PV003,RESERVADA,148,1444-100,Precio incorrecto,221700.0,110850.0,110850.0,221700.0,1.0
43,8-PV003,RESERVADA,149,1444-100,Precio incorrecto,221700.0,110850.0,110850.0,221700.0,1.0
43,8-PV003,RESERVADA,150,1430-102,Precio incorrecto,207600.0,103800.0,103800.0,207600.0,1.0
43,8-PV003,RESERVADA,151,1430-102,Precio incorrecto,207600.0,103800.0,103800.0,207600.0,1.0
44,8-PV004,RESERVADA,152,7401-102,Precio incorrecto,186900.0,93450.0,93450.0,186900.0,1.0
44,8-PV004,RESERVADA,153,7401-102,Precio incorrecto,186900.0,93450.0,93450.0,186900.0,1.0
44,8-PV004,RESERVADA,154,7401-102,Precio incorrecto,186900.0,93450.0,93450.0,186900.0,1.0
44,8-PV004,RESERVADA,155,7401-113,Precio incorrecto,184100.0,92050.0,92050.0,184100.0,1.0
44,8-PV004,RESERVADA,156,7401-113,Precio incorrecto,184100.0,92050.0,92050.0,184100.0,1.0
44,8-PV004,RESERVADA,157,7401-114,Precio incorrecto,208200.0,104100.0,104100.0,208200.0,1.0
44,8-PV004,RESERVADA,158,7401-114,Precio incorrecto,208200.0,104100.0,104100.0,208200.0,1.0
44,8-PV004,RESERVADA,159,7401-114,Precio incorrecto,208200.0,104100.0,104100.0,208200.0,1.0
45,8-PV005,RESERVADA,160,7358-235,Precio incorrecto,200500.0,100250.0,100250.0,200500.0,1.0
45,8-PV005,RESERVADA,161,7358-235,Precio incorrecto,200500.0,100250.0,100250.0,200500.0,1.0
45,8-PV005,RESERVADA,162,7358-240,Precio incorrecto,218700.0,109350.0,109350.0,218700.0,1.0
45,8-PV005,RESERVADA,163,7378-223,Precio incorrecto,222900.0,111450.0,111450.0,222900.0,1.0
45,8-PV005,RESERVADA,164,7378-223,Precio incorrecto,222900.0,111450.0,111450.0,222900.0,1.0
45,8-PV005,RESERVADA,165,7415-101,Precio incorrecto,218700.0,109350.0,109350.0,218700.0,1.0
45,8-PV005,RESERVADA,166,7416-100,Precio incorrecto,223900.0,111950.0,111950.0,223900.0,1.0
45,8-PV005,RESERVADA,167,7416-203,Precio incorrecto,252000.0,126000.0,126000.0,252000.0,1.0
45,8-PV005,RESERVADA,168,7416-203,Precio incorrecto,252000.0,126000.0,126000.0,252000.0,1.0
46,9-PV002,RESERVADA,169,5027-1497,Precio incorrecto,109200.0,54600.0,54600.0,109200.0,1.0
46,9-PV002,RESERVADA,170,5027-1497,Precio incorrecto,109200.0,54600.0,54600.0,109200.0,1.0
46,9-PV002,RESERVADA,171,5824-100,Precio incorrecto,100500.0,50250.0,50250.0,100500.0,1.0
55,4-PV009,RESERVADA,226,5835-100,Producto no encontrado en v_stock_rimec,93600.0,,,,
78,8-PV011,RESERVADA,332,1430-102,Precio incorrecto,232500.0,156937.5,75562.5,232500.0,3.0
82,8-PV012,RESERVADA,336,7401-102,Precio incorrecto,186900.0,158865.0,28035.0,186900.0,1.0
84,8-PV013,RESERVADA,340,1430-102,Precio incorrecto,207600.0,155700.0,51900.0,207600.0,1.0
